Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Number of triangles,Eigenvector Centrality
MK,MK,2,4.0,26.0,0.12818045112781953,0.0,1.0,1,0.01343467065419313
BLPU,BLPU,6,9.0,25.0,0.14701114138870686,5.414154341508596E-4,0.4666666666666667,7,0.06416341047493918
TSA,TSA,2,4.0,26.0,0.1282035856094333,0.0,1.0,1,0.012465892869948364
RYS,RYS,2,4.0,25.0,0.1468743538493349,0.0,1.0,1,0.03019466266332666
GMS,GMS,4,16.0,24.0,0.15384615384615385,1.724995440177389E-4,0.5,3,0.029268433433604805
RMM,RMM,3,8.0,27.0,0.10229209168366735,2.336983086496352E-4,0.6666666666666666,2,0.004818540008355724
RMD,RMD,3,16.0,26.0,0.1139358943513246,0.0014018606993504174,0.3333333333333333,1,0.004897258220483973
PMK,PMK,2,16.0,25.0,0.12855936293436293,0.001868708729070698,0.0,0,0.004424121625606079
MNM,MNM,4,19.0,24.0,0.14747915152773453,0.003736236639130142,0.0,0,0.01510498175546599
SVGA,SVGA,3,14.0,25.0,0.12856711915535443,7.469804462109447E-4,0.3333333333333333,1,0.005844922315680152
DKO,DKO,3,14.0,25.0,0.11647036318421557,2.5623218809577924E-5,0.3333333333333333,1,0.004959336745686359
CUPJ,CUPJ,4,18.0,25.0,0.12194912586912357,2.656929405415741E-4,0.6666666666666666,4,0.015603052582272124
PLS,PLS,4,7.0,24.0,0.16701935888392508,2.0406583283185496E-4,0.3333333333333333,2,0.08098481709043887
RHN,RHN,4,4.0,25.0,0.15363541328719224,6.623592259625774E-5,0.16666666666666666,1,0.03187165835945596
ALJ,ALJ,2,2.0,24.0,0.16025568715924046,3.3002608036550864E-5,0.0,0,0.026302763045782846
KPV,KPV,11,19.0,24.0,0.1779243550137764,0.004208465140022684,0.18181818181818182,10,0.1799446555430768
GWS,GWS,4,4.0,25.0,0.15666237823929424,5.3809331930549E-5,0.5,3,0.04489649611524569
RMR,RMR,8,12.0,24.0,0.1703913964738336,0.002287987859411389,0.21428571428571427,6,0.12330617649509501
GRX,GRX,3,3.0,25.0,0.1364669719189267,9.1431263164959E-8,0.6666666666666666,2,0.012459166003305896
CIL,CIL,3,8.0,24.0,0.152187109444742,1.95052655725052E-4,0.6666666666666666,2,0.02611581945465906
MFL,MFL,2,6.0,24.0,0.1405904667656276,0.0,1.0,1,0.011588507241784254
FTG,FTG,3,8.0,23.0,0.15200798915757185,1.280037684309426E-7,0.6666666666666666,2,0.022118581209907784
HRW,HRW,2,4.0,25.0,0.13217143211561125,0.0,1.0,1,0.005793883252418745
SWE,SWE,2,4.0,25.0,0.13895862541162662,4.2032465218606874E-4,0.0,0,0.01082277759438112
MEM,MEM,3,4.0,26.0,0.12318987195421569,8.993266223620188E-5,0.3333333333333333,1,0.005189714015071736
BTJ,BTJ,3,4.0,25.0,0.1321673333953546,5.23060910399221E-4,0.3333333333333333,1,0.005843654664402873
VPO,VPO,2,4.0,24.0,0.15220341404185414,9.812068946169529E-4,0.0,0,0.021948592280867832
JGJ,JGJ,2,4.0,25.0,0.1340125145426532,0.0,1.0,1,0.0074359997443864045
TLKH,TLKH,2,4.0,24.0,0.1405904667656276,0.0,1.0,1,0.01188392566626885
BANI,BANI,3,4.0,24.0,0.13355059066837965,0.0,1.0,3,0.011345406547764164
RUM,RUM,2,4.0,23.0,0.15199172640062764,0.0,1.0,1,0.01804366530506969
GANG,GANG,2,4.0,23.0,0.15288040748977688,0.0,1.0,1,0.021174381826083517
KVG,KVG,2,4.0,23.0,0.14596890197958765,0.0,1.0,1,0.015540762906775205
SAGR,SAGR,2,4.0,24.0,0.14417157161220484,0.0,1.0,1,0.0162929384463697
KKAH,KKAH,2,4.0,25.0,0.13927194301026075,1.1980107796414342E-6,0.0,0,0.008497808141320496
MLJ,MLJ,2,4.0,25.0,0.13919916389052192,1.0971751579795081E-7,0.0,0,0.006486458964225491
UTR,UTR,2,4.0,24.0,0.16166597124758184,4.661986065196291E-4,0.0,0,0.04957542274009083
PFR,PFR,3,10.0,25.0,0.13421085779065375,0.0,1.0,3,0.009987501648275813
KHRJ,KHRJ,4,8.0,25.0,0.13817026518835504,3.738687770315942E-5,0.6666666666666666,4,0.013093635099147597
MKH,MKH,4,8.0,25.0,0.14351134756549264,1.5188245881210267E-4,0.5,3,0.023205149913334305
HDA,HDA,5,10.0,26.0,0.1388454521761793,4.442092894446806E-5,0.5,5,0.029323365592489683
GLTA,GLTA,3,4.0,26.0,0.1299627980728182,4.6734175854137145E-4,0.3333333333333333,1,0.010025787745108235
TL,TL,4,8.0,26.0,0.14027581213178422,1.498341942555696E-4,0.5,3,0.020739613607521256
HVD,HVD,2,6.0,26.0,0.1362706228417956,0.0,1.0,1,0.00840616174861601
MALB,MALB,4,14.0,26.0,0.13636654508222948,8.805125176104696E-5,0.3333333333333333,2,0.015874388823322844
MPH,MPH,3,6.0,24.0,0.1658365758754864,2.35266586593442E-4,0.3333333333333333,1,0.06415417924644919
DUB,DUB,5,8.0,25.0,0.14294338610142204,6.916206492012512E-4,0.3,3,0.027794195295386057
BTO,BTO,4,4.0,25.0,0.14688953989315873,4.240965561424234E-4,0.3333333333333333,2,0.03301490891452685
CSB,CSB,2,2.0,23.0,0.1793242731518492,0.0,1.0,1,0.09531491815788519
MINA,MINA,2,2.0,24.0,0.15105975756716525,5.778555829732159E-5,0.0,0,0.015425792639295147
MDNR,MDNR,7,21.0,24.0,0.16770944005036792,1.6138780242752943E-4,0.38095238095238093,8,0.09437644187994369
MCQ,MCQ,2,4.0,24.0,0.1343250653975858,0.0,1.0,1,0.008507633328335693
AGY,AGY,2,4.0,24.0,0.14234186093113352,0.0,1.0,1,0.014103777129760858
SKGH,SKGH,2,4.0,23.0,0.15303411131059247,0.0,1.0,1,0.027553924972757944
MQX,MQX,4,4.0,24.0,0.14166057302399787,8.013372740999037E-6,0.5,3,0.02022264310878964
BCU,BCU,2,8.0,26.0,0.12738358539063901,0.0,1.0,1,0.018136221578168063
HZR,HZR,3,3.0,24.0,0.1570086572112728,6.849576397256822E-5,0.3333333333333333,1,0.03564526176674243
GLH,GLH,4,4.0,24.0,0.15192671015577658,8.241707783264431E-6,0.5,3,0.030753821617164143
BHDR,BHDR,2,2.0,26.0,0.12697750633099955,7.572926262460988E-7,0.0,0,0.005456240316424548
MOM,MOM,2,2.0,25.0,0.13389883757461515,3.848616678696561E-5,0.0,0,0.007136011985424778
KAT,KAT,6,13.0,24.0,0.16063015867033506,2.815220843723754E-4,0.4666666666666667,7,0.04463238046373392
KLNK,KLNK,4,4.0,25.0,0.15438672752300225,6.179282111399151E-4,0.3333333333333333,2,0.025631542486260674
BWK,BWK,3,4.0,26.0,0.13716087921990153,8.35411940369764E-4,0.3333333333333333,1,0.00941883059126042
HNS,HNS,3,4.0,27.0,0.1222815171859758,1.2930373896395199E-5,0.3333333333333333,1,0.00531334456968411
STD,STD,2,4.0,26.0,0.12697750633099955,9.916185919718417E-5,0.0,0,0.007703342638814923
ADR,ADR,2,2.0,26.0,0.12696994071558376,4.2693372282012363E-4,0.0,0,0.0073549557717314355
BHT,BHT,2,2.0,27.0,0.11324865812828826,1.0971751579795081E-7,0.0,0,0.0032802617126832865
DING,DING,2,2.0,27.0,0.11570517171168726,4.0462894479147306E-5,0.0,0,0.005010296214448131
SSA,SSA,4,6.0,26.0,0.13082849863400559,8.040897684185133E-4,0.16666666666666666,1,0.024221728617709666
KNL,KNL,3,4.0,26.0,0.1281033964532612,4.340039847172732E-6,0.6666666666666666,2,0.01991795258560009
RMN,RMN,2,2.0,26.0,0.12737216460954545,0.0,1.0,1,0.016712496598176602
FGSB,FGSB,2,2.0,25.0,0.14144431169520774,3.134705770914321E-4,0.0,0,0.01300749538936125
BSPN,BSPN,2,2.0,26.0,0.1260424676169634,2.011487789629098E-7,0.0,0,0.004892215695708365
KRLI,KRLI,2,2.0,25.0,0.132216534822398,0.0,1.0,1,0.008869808468983203
GANL,GANL,2,2.0,25.0,0.1322124333043802,0.0,1.0,1,0.008229575021393142
NNGL,NNGL,2,2.0,26.0,0.1168087263957026,2.3364344989173624E-4,0.0,0,0.003817984461459452
MTPR,MTPR,2,2.0,27.0,0.10460435892401335,1.0971751579795081E-7,0.0,0,0.003130658500229243
AADR,AADR,1,1.0,27.0,0.10459922446375104,0.0,0.0,0,0.0016908707832018622
BTG,BTG,4,5.0,25.0,0.14695538238742153,1.367223310724115E-4,0.5,3,0.038443443973012956
RBK,RBK,2,4.0,26.0,0.1282884835350069,2.036040374222194E-5,0.0,0,0.010173125458311429
KEG,KEG,2,4.0,26.0,0.12507703595011005,1.462900210639344E-7,0.0,0,0.005769068486046017
AFR,AFR,4,4.0,25.0,0.14272319335610475,2.2380740425635747E-4,0.5,3,0.020742201173435486
SMBL,SMBL,3,7.0,24.0,0.15381284059330902,9.1431263164959E-8,0.6666666666666666,2,0.025180629369050692
NSU,NSU,2,4.0,26.0,0.1282884835350069,0.0,1.0,1,0.012993205128594077
BPZ,BPZ,2,4.0,25.0,0.15115083164875695,0.0017837988764074389,0.0,0,0.017797126666566295
RKSH,RKSH,2,2.0,25.0,0.13214684360659804,0.0,1.0,1,0.005191441483522822
VRH,VRH,2,2.0,25.0,0.13214684360659804,0.0,1.0,1,0.005191441483522822
GHGL,GHGL,3,6.0,22.0,0.15377954176438752,0.0,1.0,3,0.028156694426441316
QSR,QSR,2,2.0,25.0,0.13215913671741758,0.0,1.0,1,0.005945280818565137
PRI,PRI,2,2.0,25.0,0.1360140418062869,8.22881368484631E-8,0.0,0,0.006572192693712554
IKK,IKK,2,2.0,25.0,0.13624013042227406,4.6615623187231235E-7,0.0,0,0.0071882631850989755
MOTC,MOTC,2,4.0,24.0,0.1522305961353002,0.0,1.0,1,0.018797177505111527
GZN,GZN,3,8.0,24.0,0.16759073571625183,0.0,1.0,3,0.06842299112523845
MUD,MUD,5,10.0,23.0,0.17669983416252072,3.9488701584735074E-4,0.5,5,0.08842233133317352
TRS,TRS,2,4.0,25.0,0.11091737150292778,3.291525473938524E-7,0.0,0,0.003847154512782993
KKHT,KKHT,2,4.0,24.0,0.12470739700374532,2.3342401486014033E-4,0.0,0,0.005584421993483328
SAA,SAA,2,6.0,25.0,0.12988754457074939,0.0,1.0,1,0.007823282179764779
BANE,BANE,5,5.0,24.0,0.16261589530314013,7.984819143471305E-4,0.3,3,0.05615826115783306
BLT,BLT,4,11.0,26.0,0.14463637289170936,1.6864434683866244E-4,0.3333333333333333,2,0.021414207014585077
BUT,BUT,5,10.0,26.0,0.14448927009526394,1.769446218089742E-4,0.4,4,0.024769863980914738
UTL,UTL,3,5.0,26.0,0.1327229696063777,1.462900210639344E-7,0.3333333333333333,1,0.010411189034426331
BME,BME,4,6.0,26.0,0.13279740761513056,1.3866754101902414E-6,0.3333333333333333,2,0.011700759329223303
KIP,KIP,2,2.0,25.0,0.15171579097251886,2.879905990848341E-4,0.0,0,0.01976215998865663
BWL,BWL,3,6.0,25.0,0.15168339383586021,6.179643798257696E-4,0.3333333333333333,1,0.02097291220232854
HSI,HSI,3,6.0,26.0,0.1338273620749207,1.5819847225766707E-5,0.3333333333333333,1,0.01027011085547309
BU,BU,4,10.0,26.0,0.14055801068531099,1.1581672747756215E-4,0.5,3,0.0196106294022157
POK,POK,2,4.0,26.0,0.13104169228877136,0.0,1.0,1,0.007227538243429537
SKF,SKF,2,2.0,25.0,0.14601390934941244,0.0,1.0,1,0.013814413411637529
RMB,RMB,2,2.0,27.0,0.11993471409275101,0.0,1.0,1,0.005086947941435982
TLC,TLC,2,2.0,27.0,0.10302151317379743,0.0,1.0,1,0.00372096183830483
SUJH,SUJH,3,8.0,26.0,0.11214904086519485,3.788888499175368E-4,0.3333333333333333,1,0.004914272377851751
LAU,LAU,2,8.0,25.0,0.12525715629224712,8.041056897033705E-4,0.0,0,0.004037751831769547
DIA,DIA,3,8.0,24.0,0.14278535294314718,0.0012628385805495096,0.3333333333333333,1,0.012890605535831021
CTKT,CTKT,3,6.0,24.0,0.14273275284661754,3.510960505534426E-7,0.6666666666666666,2,0.013440783355230775
SOS,SOS,4,6.0,26.0,0.13497165658548943,4.904106777891336E-4,0.3333333333333333,2,0.022386890788021696
KLL,KLL,6,9.0,26.0,0.1383317104836092,0.0015834776690732892,0.2,3,0.03385087763505143
BJR,BJR,3,3.0,24.0,0.14995953696210548,1.51990850310075E-4,0.3333333333333333,1,0.012220703574831392
BLU,BLU,2,2.0,25.0,0.13059998774284487,1.3192225113801226E-7,0.0,0,0.005994148266239188
KLJ,KLJ,2,2.0,25.0,0.13058398186163367,0.0,1.0,1,0.004762394864146621
LHLL,LHLL,2,2.0,25.0,0.1536243376707638,0.0,1.0,1,0.018777088501555288
KHRK,KHRK,2,2.0,26.0,0.13375596284207883,1.4723356271534218E-4,0.0,0,0.004807486821650809
